count, author, comment, isLiked?
81,Vishu- M,Its night 🌛here + its⛈ raining too..Day was ok ok but now feeling relaxed the lovely 😌smell of the rain makes me happy..✌💙,False
82,Elithia Sohtun,Now I'm feeling good after getting notification from wave music!,False
83,True Legend,It went good until I drank Mango shake just after eating maggie😖,False
84,Ikram Jx,Badly,False
85,oneroseaday,It's gone..good night guys,False
86,teleko admasu,I am doing Glued  thanks,False
87,Old Hitman47,Okay  except for the part where I have a little headache💚🎵😐,False
88,lilly hwang,Bad😥😥,False
89,oneroseaday,any time  every time...i get lost ..you will find me,False
90,Sartika Biswas,Thinking  how can I bring some change in the world!🍭,False
91,Rase Jain,Amazing with like wave family.🙃,False
92,Motrescu Larisa,Today was a great day,False
93,naomi milea,Splendid plus sarcasm 😂,False
94,TheAnimeTrumpet,Pretty good so far! 👍🏻,False
95,C. J. S.,Ominous  🤔,False
96,Reddish ',Stressful  mostly because of my own mistakes  I want to fix it  wish me luck,False
97,Oloksandra,Today was good  i did everything i want to do  but the weather was very bad and i cant go outside 😣,False
98,primrose lily,really good. it's Independence day 🇵🇭 then tomorrow is my most favorite day. 🎂🎉✨,False
99,Fallen Angel,It's going better  at least,False
100,Violeta Hanisch,WAVE MUSIC My Day today is so NICE coz we have 1 day HOLIDAY  👌👌👌🖐🖐🖐😍😍😍✌✌✌⭐⭐⭐🎼🎼🎼🥀🍀🥀🍀🥀💟💟💟,False
101,WaveMusic,@Lost soul Having a tough day tbh  one of my worst in a while :(,False
102,_ƈօʍ`քօֆ_ɛʀ,Waiting....,False
103,Lost soul,@WaveMusic ohh hope u feel better soon,False
104,pawan bandari143,Tooo boring but you help me out from this 💓,False
105,Gathuz Gathu,I'm sick,False
106,Ton Moi,Like a glue,False
107,dav chin,Lagg,False
108,Anthony Guarino,No,False
109,Anthony Guarino,@WaveMusic FEEL BETTER 😁😁😁😁,False
110,Srikanth jay,In the time like this? Sad,False
111,Pramodya Edirisinghe,I really miss her 😍❤️,False
112,The Verse,Can i have your mail ID Need to talk to you,False
113,Eclipse Hannelore,My day has been full of memories and WaveMusic  so i guess it's been great! Thank you WaveMusic,False
114,Obong Murry,Pretty good thanks for asking 😊,False
115,A heart named Lee,super duper!!!! ❤❤❤💚💚💚💜💜💜💙💙💙💛💛🐾🐾🐾🐾👣👣👣🌳🌳🌳🌳🙂🙂🙂🙂,False
116,A heart named Lee,@WaveMusic please choose compassion. ❤❤❤💚💚💚💜💜💙💙💛💛💛,False
117,Karina Krina,Hope to be a great Saturday,False
118,Dance Paradise,Good,False
119,Richa UPADHYAY,Oh..... Cried a lot,False
120,Ziy,Like everyday :v Soo it's good I guess :v,False
121,DIKSHA RANA,By being lazy all day....,False
122,alan walker,quarantine.,False
123,Adam Rubin,Good,False
124,Adam Rubin,Right now I have a zoom meeting soon,False
125,Adam Rubin,It's going to be crazy,False
126,Adam Rubin,I miss all of my famley and my sister's I have 3 of them,False
127,Adam Rubin,And I miss them,False
128,Adam Rubin,And I want to see my unculls I have 2,False
129,Adam Rubin,And I want to see them,False
130,Adam Rubin,I am sad sometimes,False
131,Adam Rubin,But I am okay later bye,False
132,GAUTAM,Oh My God why I'm so late to find this channel,False
133,WaveMusic,@GAUTAM Never too late!,False
134,SOMEWHERE I BELONG METEORA,I had a great day today even I'm going through a problem.,False
135,SOMEWHERE I BELONG METEORA,@Tran Ngo Looks like my story isn't that crazy after all. I loved a girl for four years (But she didn't) and few days ago  she said she has a boyfriend. Life's funny.,False
